Title,Director,Cast,Genre,Combined
Lemonade,Lummie Edevibe,Kunle Remi Ayoola Ayolola Dino Melaye Linda Osifo,Drama Comedy,Kunle Remi Ayoola Ayolola Dino Melaye Linda Osifo Lummie Edevibe Drama Comedy
Lagos to Abuja Coach,Olamide Balogun,Akin Lewis Adunni Ade Tina Mba Maryam Booth,Drama,Akin Lewis Adunni Ade Tina Mba Maryam Booth Olamide Balogun Drama
Citation,Kunle Afolayan,Temi Otedola Jimmy Jean-Lewis Kunle Afolayan Joke Silva Ibukun Awosika,Drama Thriller,Temi Otedola Jimmy Jean-Lewis Kunle Afolayan Joke Silva Ibukun Awosika Kunle Afolayan Drama Thriller
Ratnik,Dimeji Ajibola,Osas Ighodaro Bolanle Ninalowo Adunni Ade Karibi Fubara,Sci-fi Comedy Fantasy Horror,Osas Ighodaro Bolanle Ninalowo Adunni Ade Karibi Fubara Dimeji Ajibola Sci-fi Comedy Fantasy Horror
Rattlesnake: The Ahanna story,Ramsey Noah,Stan Nze Osas Ighodaro Bucci Franklin Efa Iwara,Action Crime Drama,Stan Nze Osas Ighodaro Bucci Franklin Efa Iwara Ramsey Noah Action Crime Drama
The Good Husband,Dickson Iroegbu,Monalisa Chinda Coker Francis Duru Sam Dede Bassey Ekpeyong Bassey,Drama,Monalisa Chinda Coker Francis Duru Sam Dede Bassey Ekpeyong Bassey Dickson Iroegbu Drama
The New Normal,Teni Olatoni,Richard Mofe Damijo Mercy Johnson-Okojie Kehinde Bankole Bimbo Akintola,Drama Documentary,Richard Mofe Damijo Mercy Johnson-Okojie Kehinde Bankole Bimbo Akintola Teni Olatoni Drama Documentary
Living Out Ur Dreams,Umanu Ojochenemi Elijah,Wole Ojo Eucharia Anunobi Timini Egbuson Sophie Alakija,Musical Drama,Wole Ojo Eucharia Anunobi Timini Egbuson Sophie Alakija Umanu Ojochenemi Elijah Musical Drama
Introducing the Kujus,Biodun Stephen,Bisola Aiyeloa Femi Jacobs Bimbo Ademoye Timini Egbusen,Comedy Drama,Bisola Aiyeloa Femi Jacobs Bimbo Ademoye Timini Egbusen Biodun Stephen Comedy Drama
The Milkmaid,Desmond Ovbiagele,Anthonieta Kalunta Gambo Usman Kona Maryam Booth,Drama,Anthonieta Kalunta Gambo Usman Kona Maryam Booth Desmond Ovbiagele Drama
